"lemmatized_Ru1" "lemmatized_Ru2" "lemmatized_Ru3" "lemmatized_Ru4" "lemmatized_Ru5" "rs-graphics-3586a42c-a647-4324-9de9-bdea3dd2b3bb"
"какой" 0.207445663869163 0.15632070426591 0.210087327344277 0.166206182006562 0.173325059379881 0
"потому" 0.13514095115128 0.0946151631083138 0.11445055892636 0.316223450181316 0.194723214858879 0
"дело" 0.217774908543146 0.137809041918631 0.148942508191838 0.178078052149888 0.177604690475681 0
"о" 0.17817947062621 0.252992718746143 0.260257435366791 0.189949922293214 0.0759634519504419 0
"король" 0.173014848289219 0.0740466493891151 0.241443644858348 0.176998791227767 0.18509404489333 0
"где" 0.168710996341726 0.15220700152207 0.159917219321763 0.169443964772924 0.199002845954679 0
"рука" 0.160964062836238 0.14603644740631 0.183434457457316 0.176998791227767 0.18723386044123 0
"два" 0.148052506993759 0.15837755563783 0.172459746327391 0.189949922293214 0.181884321571481 0
"тогда" 0.21519259737465 0.141922744662471 0.112882743050656 0.171602486617165 0.156206534996683 0
"герцог" 0.16010329244674 0.106956271339833 0.192841352711538 0.155413572785357 0.170115336058032 0
"день" 0.126533247256294 0.189230326216628 0.18970572096013 0.16188913831808 0.155136627222733 0
"негра" 0.148913277383258 0.162491258381669 0.174027562203095 0.155413572785357 0.146577365031134 0
"под" 0.191951796858188 0.141922744662471 0.139535612937617 0.118718701433259 0.143367641709285 0
"думать" 0.0654185496018937 0.181002920728948 0.178731009830206 0.159730616473839 0.206492200372328 0
"место" 0.148052506993759 0.15632070426591 0.148942508191838 0.135986876187187 0.151926903900884 0
"ли" 0.143748655046266 0.172775515241269 0.180298825705909 0.106846831289933 0.154066719448784 0
"берег" 0.140305573488272 0.189230326216628 0.159917219321763 0.129511310654464 0.133738471743736 0
"хорошо" 0.111900150634818 0.15220700152207 0.177163193954502 0.147858746330513 0.158346350544583 0
"река" 0.127394017645793 0.15632070426591 0.133264349434802 0.134907615265066 0.164765797188282 0
"старый" 0.0714439423283839 0.234481056398865 0.221062038474202 0.158651355551718 0.106990777394989 0
"сам" 0.142887884656768 0.125467933687112 0.136399981186209 0.0960542220687273 0.19044358376308 0
"даже" 0.138584032709275 0.199514583076227 0.130128717683395 0.0841823519254015 0.169045428284082 0
"опять" 0.121368624919303 0.213912542679666 0.169324114575984 0.0485667414954239 0.181884321571481 0
"сделать" 0.109317839466322 0.15632070426591 0.125425270056285 0.209376618891383 0.0973616074294396 0
"голова" 0.128254788035292 0.176889217985108 0.144239060564727 0.116560179589017 0.138018102839535 0
"ведь" 0.141166343877771 0.113126825455593 0.11915400655347 0.103609048523571 0.171185243831982 0
"должен" 0.0998493651818377 0.213912542679666 0.195976984462945 0.111163874978415 0.106990777394989 0
"уж" 0.0705831719388853 0.131638487802871 0.130128717683395 0.126273527888102 0.215051462563927 0
"ночь" 0.105874757908328 0.164548109753589 0.145806876440431 0.134907615265066 0.127319025100036 0
"со" 0.165267914783731 0.141922744662471 0.116018374802063 0.0906579174581247 0.119829670682387 0
"тоже" 0.0766085646653755 0.0987288658521535 0.11445055892636 0.0938957002244863 0.240729249138724 0
"наш" 0.141166343877771 0.187173474844708 0.169324114575984 0.0733897427041962 0.0855926219159908 0
"город" 0.0972670540133419 0.115183676827512 0.111314927174953 0.132749093420825 0.145507457257184 0
"чем" 0.136862491930278 0.117240528199432 0.100340216045028 0.131669832498705 0.101641238525239 0
"их" 0.114482461803314 0.106956271339833 0.133264349434802 0.129511310654464 0.106990777394989 0
"тут" 0.0542285345384119 0.0781603521329549 0.0705517144066601 0.139224658953549 0.230030171399225 0
"при" 0.194534108026684 0.162491258381669 0.117586190677767 0.0604386116387498 0.0502856653756446 0
"дом" 0.106735528297827 0.106956271339833 0.111314927174953 0.126273527888102 0.124109301778187 0
"во" 0.142027114267269 0.121354230943272 0.116018374802063 0.100371265757209 0.0909421607857403 0
"пока" 0.0946847428448461 0.123411082315192 0.0768229779094743 0.119797962355379 0.154066719448784 0
"здесь" 0.113621691413815 0.15220700152207 0.134832165310506 0.119797962355379 0.0534953886974943 0
"про" 0.113621691413815 0.0473075815541569 0.0658482667795494 0.0917371783802452 0.181884321571481 0
"больше" 0.0473423714224231 0.0925583117363939 0.0893655049151028 0.148938007252633 0.163695889414332 0
"после" 0.126533247256294 0.0905014603644741 0.0893655049151028 0.0820238300811604 0.132668563969786 0
"видеть" 0.0895201205078545 0.104899419967913 0.100340216045028 0.131669832498705 0.112340316264738 0
"хотеть" 0.0697224015493867 0.141922744662471 0.134832165310506 0.123035745121741 0.100571330751289 0
"надо" 0.0723047127178825 0.0575918384137562 0.0721195302823636 0.10145052667933 0.200072753728629 0
"слово" 0.104153217129331 0.129581636430951 0.131696533559099 0.0949749611466068 0.0834528063680911 0
"можно" 0.155799440499247 0.0863877576206343 0.0799586096608814 0.0798653082369194 0.0823828985941412 0
"делать" 0.0576716160964063 0.133695339174791 0.106611479547842 0.131669832498705 0.106990777394989 0
"минута" 0.0843554981708629 0.104899419967913 0.125425270056285 0.109005353134174 0.0952217918815398 0
